name,ring,quadrant,isNew,description
TeamCity,hold,"Tools",TRUE,"<p>TeamCity is a build management and continuous integration server from JetBrains.</p>"
GitLab,assess,"Tools",TRUE,"<p>GitLab is a web-based DevOps lifecycle tool that provides a Git-repository manager providing wiki, issue-tracking and CI/CD pipeline features.</p>"
GitHub Actions,assess,"Tools",TRUE,"<p>GitHub Actions enables you to create custom software development life cycle (SDLC) workflows (including CI/CD) directly in your GitHub repository.</p>"
Shiny,trial,"Tools",FALSE,"<p>Provide a short description of the technology here.</p>"
Kubernetes,trial,"Platforms",TRUE,"<p>Kubernetes (K8s) is an open-source system for automating deployment, scaling, and management of containerized applications. <a href=\"https://kubernetes.io\">https://kubernetes.io</a></p>"
Docker,adopt,"Tools",TRUE,"<p>Docker is a set of platform as a service products that use OS-level virtualization to deliver software in packages called containers.</p>"
GitHub,adopt,"Tools",TRUE,"<p>GitHub provides hosting for software development version control using Git. It is a subsidiary of Microsoft, which acquired the company in 2018 for $7.5 billion. It offers all of the distributed version control and source code management functionality of Git as well as adding its own features.</p>"
PCF,adopt,"Platforms",TRUE,"<p>Pivotal Cloud Foundry (PCF) allows users to reliably deploy and run containerized workloads across private and public clouds. </p>"
placeholder technique,adopt,"Techniques",FALSE,"No issues with the label 'technique' found."
placeholder language,adopt,"Languages & Frameworks",FALSE,"No issues with the label 'language' or 'framework' found."
